Title,P-ISSN,E-ISSN,Source Type,All Science Classification Codes (ASJC)
Academic Journal of Cancer Research,19958943,,Journal,2730; 1306;
Advance Journal of Food Science and Technology,20424868,20424876 ,Journal,1106; 2209; 1600;
Advances in Environmental Biology,19950756,19981066,Journal,1100; 2300;
Advances in Natural and Applied Sciences,19950772,,Journal,2200; 1100; 1300; 1500;
African Journal of Agricultural Research,1991637X,,Journal,1100;
American-Eurasian Journal of Sustainable Agriculture,19950748,19981074 ,Journal,1102; 1106; 1108;
BioTechnology: An Indian Journal,09747435,,Journal,1305; 1303; 1106;
Experimental and Clinical Cardiology,12056626,,Journal,1314; 2705; 2737;
Global Journal of Pharmacology,19920075,,Journal,3000;
Immunome Research,17457580,,Journal,2403; 1703; 1312; 2604;
International Journal of Drug Development and Research,09759344,,Journal,3000;
Journal of AIDS and Clinical Research,21556113,,Journal,2708; 2406; 2725; 2403; 
Journal of Antivirals and Antiretrovirals,19485964,,Journal,2406; 2725;
Journal of Aquaculture Research and Development,21559546,,Journal,1104; 
Journal of Bioanalysis and Biomedicine,1948593X,,Journal,3003; 
Journal of Bioequivalence and Bioavailability,09750851,,Journal,3003; 
Journal of Cancer Science and Therapy,19485956,,Journal,2730; 1306;
Journal of Chemical and Pharmaceutical Research,09757384,,Journal,3003; 
Journal of Microbial and Biochemical Technology,19485948,,Journal,1305; 1303; 2402; 2404; 
Journal of Nanomedicine and Nanotechnology,,21577439 ,Journal,2204; 3003; 1502; 2701; 
Journal of Proteomics and Bioinformatics,0974276X,,Journal,1312; 1303; 1706; 1307;
Journal of the Pancreas,15908577,,Journal,2721; 2712; 1310;
Journal of Vaccines and Vaccination,21577560,,Journal,2406; 3002; 2403; 2723; 
Life Science Journal,10978135,,Journal,1300;
Scientific Research and Essays,19922248,,Journal,2200; 1100; 1300; 2700; 3100;
Stem Cell,19454570,19454732,Journal,1305; 1110; 
Advances in Information Sciences and Service Sciences,19763700,22339345 ,Journal,1700; 2600; 
Archives of Clinical Microbiology,19898436,,Journal,2726; 2725; 
Archivos de Medicina,16989465,,Journal,2700;
Asian Social Science,19112017,19112025 ,Journal,2000; 3300; 1200;
Australian Journal of Basic and Applied Sciences,19918178,,Journal,1000;
Diversity and Equality in Health and Care,20495471,2049548X ,Journal,3306; 
Energy Education Science and Technology Part A: Energy Science and Research,1308772X,,Journal,2100;
Energy Education Science and Technology Part B: Social and Educational Studies,13087711,,Journal,3304;
English Language Teaching,19164742,19164750 ,Journal,3310; 3304; 1203; 
"European Journal of Economics, Finance and Administrative Sciences",14502275,,Journal,2000; 1400;
European Journal of Scientific Research,1450202X,,Journal,1000;
European Journal of Social Sciences,14502267,,Journal,3300;
Global Veterinaria,19926197,19998163 ,Journal,3400;
Health Science Journal,11087366,1791809X,Journal,2900;
HealthMED,18402291,,Journal,2700;
International Archives of Medicine,17557682,,Journal,2700;
International Education Studies,19139020,,Journal,3304;
International Journal of Advancements in Computing Technology,20058039,,Journal,1700;
International Journal of Collaborative Research on Internal Medicine and Public Health,18404529,,Journal,2739; 2700; 2724;
International Journal of Computational and Mathematical Sciences,20703910,,Journal,2600; 1700;
International Journal of Digital Content Technology and its Applications,19759339,,Journal,1712; 1705;
International Journal of Information Processing and Management,20934009,2233940X ,Journal,1700; 1802; 
International Journal of Physical Sciences,19921950,,Journal,2504; 3100;
International Research Journal of Finance and Economics,14502887,,Journal,2003; 2002;
Journal of Anesthesia and Clinical Research,,21556148 ,Journal,2703; 
Journal of Applied Sciences,18125654,18125662,Journal,1000;
Journal of Applied Sciences Research,1816157X,,Journal,1000;
Journal of Clinical and Experimental Cardiology,,21559880 ,Journal,2705; 
Journal of Computers,1796203X,,Journal,1700;
Journal of Convergence Information Technology,19759320,,Journal,1708; 1705;
Journal of Emerging Technologies in Web Intelligence,17980461,,Journal,1705;
Journal of Generalized Lie Theory and Applications,17365279,17364337 ,Journal,2602; 
Journal of Language Teaching and Research,17984769,20530684 ,Journal,3310; 3304; 1203; 
Journal of Multimedia,17962048,,Journal,2214; 2208; 1702;
Journal of Networks,17962056,,Journal,1705;
Journal of Next Generation Information Technology,20928637,,Journal,1700; 
Journal of Software,1796217X,,Journal,1712; 1709; 1702;
Journal of Sustainable Development,19139063,,Journal,2105; 2300; 3303; 3305; 
Journal of Veterinary Science and Technology,21577579,,Journal,3400; 
Mediterranean Journal of Social Sciences,20399340,20392117 ,Journal,2000; 3300; 1200; 
